msa,qc,qcb,qca,qcf
41940,2.75,2.5,3.75,14.5
42020,3.5,3.0,3.5,43.0
42100,2,2,2.25,19.5
42140,2,2,2.25,44.75
42200,4.25,2.75,4.25,23.5
42220,4.25,4.0,5.5,21.75
42340,15.5,13.25,15.5,116.5
42540,6.0,3.75,6.0,22.25
42660,8.5,3.25,9.5,15.5
42680,20.5,20.25,20.5,78.75
42700,9.75,2,9.75,40.25
43100,7.25,2,7.25,37.0
43300,27.75,2,31.25,82.5
43340,25.25,9.5,27.5,165.25
43420,2.5,2.25,2.5,37.25
43580,11.75,10.75,12.25,121.25
43620,15.75,6.25,6.25,83.75
43780,4.25,3.75,6.75,34.75
43900,17.75,12.5,13.0,98.0
44060,13.25,4.5,6.5,34.5
44100,11.75,7.5,16.75,43.75
44140,4.5,3.25,4.5,25.75
44180,8.75,7.5,12.5,95.25
44220,5.0,2,5.0,31.0
44300,4.75,2,2,67.0
44700,9.5,3.0,9.5,36.75
44940,14.25,7.25,16.75,50.5
45060,4.5,2,9.75,17.75
45220,10.25,5.25,5.25,66.25
45300,6.75,6.25,9.25,31.25
45460,7.5,4.5,8.0,63.25
45500,7.0,3.25,7.0,93.25
45540,10.25,2,10.25,343.75
45780,8.0,7.5,8.5,30.75
45820,6.25,3.5,6.25,59.5
45940,5.75,3.5,6.0,28.75
46060,7.0,3.0,7.0,33.25
46140,13.25,11.75,21.75,64.5
46220,24.75,10.75,13.25,83.25
46300,8.25,7.25,8.25,83.5
46340,14.5,13.75,14.5,98.5
46540,6.25,3.25,3.5,25.5
46660,21.0,13.0,21.0,77.75
46700,4.25,4.0,4.25,27.25
47020,15.75,9.25,15.75,78.75
47220,9.5,9.25,9.75,45.25
47260,6.25,5.25,6.5,27.25
47300,3.25,2.5,3.25,48.75
47380,11.25,8.25,11.25,92.75
47460,2,2,2,23.5
47580,11.25,7.0,11.25,187.75
47900,5.5,5.25,6.5,16.5
47940,18.5,3.5,3.5,63.5
48060,7.75,5.0,7.75,30.5
48140,2.25,2,2.25,59.5
48260,6.25,4.25,4.25,36.25
48300,9.5,6.0,7.25,43.75
48540,8.25,5.5,8.25,65.75
48620,11.5,5.25,13.25,58.75
48660,13.25,5.5,13.25,116.75
48700,6.75,4.0,6.75,30.75
48900,19.0,13.75,31.5,78.0
49020,5.25,2,5.25,29.25
49180,8.5,7.5,11.25,34.25
49340,3.25,2.75,5.0,15.25
49420,3.5,2.75,3.5,50.0
49620,5.5,3.5,9.75,24.5
49660,9.25,8.0,4.5,25.5
49700,8.0,6.0,13.25,45.25
49740,7.75,2.5,7.75,91.25
